"identifier","labels","context","source","translation"
"WWBE004NP","WWBE","Napoleon","Oh, this just gets worse and worse the more I know.","Oh, this just gets worse and worse the more I know."
"WWBE005RA","WWBE","Raz","Look, I found some armaments for the troop!","Look, I found some armaments for the troop!"
"WWBE006FR","WWBE","Fred","Ah, get that gun out of my face. Why don't you go arm the  people who are doing the fighting?","Ah, get that gun out of my face. Why don't you go arm the  people who are doing the fighting?"
"WWBE007FR","WWBE","Fred","Ow! Oh, go ahead. Beat me up. I don't care.","Ow! Oh, go ahead. Beat me up. I don't care."
"WWBE008NP","WWBE","Napoleon","Trust me, he doesn't.","Trust me, he doesn't."
"WWBE009FR","WWBE","Fred","Oh, and now I'm on fire. Great.","Oh, and now I'm on fire. Great."
"WWBE010FR","WWBE","Fred","Not me. You're supposed to be moving the pieces around.","Not me. You're supposed to be moving the pieces around."
"WWBE011NP","WWBE","Napoleon","What? You do? You ARE my relative after all!","What? You do? You ARE my relative after all!"
"WWBE012FR","WWBE","Fred","Oh, wait. No. I'm over it.","Oh, wait. No. I'm over it."
"WWBE013NP","WWBE","Napoleon","Ahh, I knew it!","Ahh, I knew it!"
"WWBF000RA","WWBF","Raz","Hey, check out this coin I found.","Hey, check out this coin I found."
"WWBF001NP","WWBF","Napoleon","Ah, a priceless Bonaparte family heirloom.","Ah, a priceless Bonaparte family heirloom."
"WWBF002FR","WWBF","Fred","You can have that. It's worthless to me.","You can have that. It's worthless to me."
"WWBF003NP","WWBF","Napoleon","Ahhh!","Ahhh!"
"WWBF004RA","WWBF","Raz","Look! Fred cares!","Look! Fred cares!"
"WWBF005NP","WWBF","Napoleon","You can't just tell the people you care about them! You have to show them!","You can't just tell the people you care about them! You have to show them!"
"WWBF006NP","WWBF","Napoleon","By leading them nobly into war!","By leading them nobly into war!"
"WWBF007RA","WWBF","Raz","Hey, it's a start.","Hey, it's a start."
"WWBF008RA","WWBF","Raz","Cool Musket, eh?","Cool Musket, eh?"
"WWBF009NP","WWBF","Napoleon","Fred's troops wouldn't know what to do with one of those.","Fred's troops wouldn't know what to do with one of those."
"WWBF010NP","WWBF","Napoleon","Ah!","Ah!"
"WWBF011NP","WWBF","Napoleon","Oof!","Oof!"
"WWBF012NP","WWBF","Napoleon","Sacré bleu!","Sacré bleu!"
"WWBF013NP","WWBF","Napoleon","I wish my own descendants had your fighting instinct.","I wish my own descendants had your fighting instinct."
"WWBF014NP","WWBF","Napoleon","I am not short but you should know for future reference that small people do not enjoy being lifted up as if they were children. I am an Emperor! I am King!","I am not short but you should know for future reference that small people do not enjoy being lifted up as if they were children. I am an Emperor! I am King!"
"WWBF015FR","WWBF","Fred","Hee hee hee!","Hee hee hee!"
"WWBF016NP","WWBF","Napoleon","Oh, ohhhhh...","Oh, ohhhhh..."
"WWBF017NP","WWBF","Napoleon","Wait... what IS the purpose of war? Maybe diplomacy could, uh","Wait... what IS the purpose of war? Maybe diplomacy could, uh"
"WWBF018NP","WWBF","Napoleon","Ah! Wait, who said that?","Ah! Wait, who said that?"
"WWBG000CN","WWBG","Carpenter","You can't fool me by giving me money! I know you're a burglar!","You can't fool me by giving me money! I know you're a burglar!"
"WWBG001CN","WWBG","Carpenter","How about the burglar on my roof? Does he care about that?","How about the burglar on my roof? Does he care about that?"
"WWBG002CN","WWBG","Carpenter","Ah! A gun! And I was just starting to believe that you weren't a burglar!","Ah! A gun! And I was just starting to believe that you weren't a burglar!"
"WWBH000CN","WWBH","Carpenter","I only care about wood, and nails, and bridges.","I only care about wood, and nails, and bridges."
"WWBH001CN","WWBH","Carpenter","Ow! Hey, whose side are you on?","Ow! Hey, whose side are you on?"
"WWBH002CN","WWBH","Carpenter","Oooh... ohhh...","Oooh... ohhh..."
"WWBI000P1","WWBI","Peasant-1","I'm not in this for the money. If our leaders cared about us, I'd fight for nothing!","I'm not in this for the money. If our leaders cared about us, I'd fight for nothing!"
"WWBI001P1","WWBI","Peasant-1","Oh, I got a gun already. But who cares about killing unless you're killing FOR someone, you know?","Oh, I got a gun already. But who cares about killing unless you're killing FOR someone, you know?"
"WWBJ000P1","WWBJ","Peasant-1","I don't care about anything now, except for my fearless leader Fred!","I don't care about anything now, except for my fearless leader Fred!"
"WWBJ001P1","WWBJ","Peasant-1","Hey, knock it off!","Hey, knock it off!"
"WWBJ002P1","WWBJ","Peasant-1","Quit it! I'm made of wood!","Quit it! I'm made of wood!"
"WWBJ003P1","WWBJ","Peasant-1","Ohhh ohhhh...","Ohhh ohhhh..."
"WWBK000P2","WWBK","Peasant-2","Well then he should put his money where his mouth is and PAY US.","Well then he should put his money where his mouth is and PAY US."
"WWBK001P2","WWBK","Peasant-2","It would be cool if we had some pawn shops in this town and I could SELL IT.","It would be cool if we had some pawn shops in this town and I could SELL IT."
"WWBL000P2","WWBL","Peasant-2","I only care about how much I'm getting paid. ","I only care about how much I'm getting paid. "
"WWBL001RA","WWBL","Raz","Okay, you got your money. Let's fight!","Okay, you got your money. Let's fight!"
"WWBL002P2","WWBL","Peasant-2","Well, I hope you saved a little dough to fix that broken bridge over there, cuz I can't get to the soldier until you do that.","Well, I hope you saved a little dough to fix that broken bridge over there, cuz I can't get to the soldier until you do that."
"WWBL003P2","WWBL","Peasant-2","I'm ready. Send me over there!","I'm ready. Send me over there!"
"WWBL004P2","WWBL","Peasant-2","Hey, you're not paying me enough to do that!","Hey, you're not paying me enough to do that!"
"WWBL005P2","WWBL","Peasant-2","ooohhh ohhh...","ooohhh ohhh..."
"WWBM000P3","WWBM","Peasant-3","Man, I could buy a gun with that if there were a decent pawn shop in town.","Man, I could buy a gun with that if there were a decent pawn shop in town."
"WWBM001P3","WWBM","Peasant-3","If he cares, then why doesn't he give us guns so we can protect ourselves, huh?","If he cares, then why doesn't he give us guns so we can protect ourselves, huh?"
"WWBN000P3","WWBN","Peasant-3","Careful. I have a gun.","Careful. I have a gun."
"WWBN001RA","WWBN","Raz","Why aren't you using that gun I gave you?","Why aren't you using that gun I gave you?"
"WWBN002P3","WWBN","Peasant-3","I'm too far away. You gotta move me closer to that soldier.","I'm too far away. You gotta move me closer to that soldier."
"WWBN003P3","WWBN","Peasant-3","Ohhhh.. Ohhhh...","Ohhhh.. Ohhhh..."
"WWBO000KN","WWBO","Knight","Oh, how I wish there were a gourmet restaurant in town so that I may take that coin and buy myself a fine meal.","Oh, how I wish there were a gourmet restaurant in town so that I may take that coin and buy myself a fine meal."
"WWBO001KN","WWBO","Knight","Not enough to feed his troops anything but chipped beef on toast!","Not enough to feed his troops anything but chipped beef on toast!"
"WWBO002KN","WWBO","Knight","Oooh, I can't believe I spoke the name of that dish!","Oooh, I can't believe I spoke the name of that dish!"
"WWBO003KN","WWBO","Knight","Excellent. Now take that gun and go shoot me a fine game pheasant, then bring it to my favorite chef in Paris--","Excellent. Now take that gun and go shoot me a fine game pheasant, then bring it to my favorite chef in Paris--"
"WWBO004RA","WWBO","Raz","It's not loaded.","It's not loaded."
"WWBO005KN","WWBO","Knight","Ohhh, I'm going to faint.","Ohhh, I'm going to faint."
"WWBP000KN","WWBP","Knight","Please, do not distract me, for now my only thought is of storming that stronghold!","Please, do not distract me, for now my only thought is of storming that stronghold!"
"WWBP002KN","WWBP","Knight","oooh... Ooohhh","oooh... Ooohhh"
"WWBQ000NP","WWBQ","Napoleon","Hey, do not try to bribe my troops! They are too loyal anyway, and would never leave me!","Hey, do not try to bribe my troops! They are too loyal anyway, and would never leave me!"
"WWBQ001SD","WWBQ","Soldier","Oui, oui oui but, uh... Call me two weeks. If we don't get more funding I'm going to jump ship!","Oui, oui oui but, uh... Call me two weeks. If we don't get more funding I'm going to jump ship!"
"WWBQ002SD","WWBQ","Soldier","Not as much as my leader does!","Not as much as my leader does!"
"WWBQ003NP","WWBQ","Napoleon","You got that right, kiddo!","You got that right, kiddo!"
"WWBQ004SD","WWBQ","Soldier","If I thought you knew how to use it, I would be frightened.","If I thought you knew how to use it, I would be frightened."
"WWBQ005RA","WWBQ","Raz","Hey, I was once an assassin I'll have you know!","Hey, I was once an assassin I'll have you know!"
"WWBQ006NP","WWBQ","Napoleon","Hey! Don't touch my pieces!","Hey! Don't touch my pieces!"
"WWBQ007NP","WWBQ","Napoleon","That is cheating!","That is cheating!"
"WWBR000RA","WWBR","Raz","Man, this Salt Shaker is totally in the way.","Man, this Salt Shaker is totally in the way."
"WWBR001RA","WWBR","Raz","I'll bet the real Napoleon never had to worry about stuff like this.","I'll bet the real Napoleon never had to worry about stuff like this."
"WWBS000NP","WWBS","Napoleon","Ha ha. Not bad, Fred!","Ha ha. Not bad, Fred!"
"WWBS001FR","WWBS","Fred","What? What'd I do?","What? What'd I do?"
"WWBS002NP","WWBS","Napoleon","You're doing better than usual, and I hate to end the fun...","You're doing better than usual, and I hate to end the fun..."
"WWBS003NP","WWBS","Napoleon","But I guess it's time to put an end to this, as usual.","But I guess it's time to put an end to this, as usual."
"WWBS004NP","WWBS","Napoleon","Guard the bridge to the stronghold with your LIFE.","Guard the bridge to the stronghold with your LIFE."
"WWBS005SD","WWBS","Soldier","None shall pass!","None shall pass!"
"WWBT000NP","WWBT","Napoleon","But... I... how...","But... I... how..."
"WWBT001NP","WWBT","Napoleon","RETREAT!","RETREAT!"
"WWBT002NP","WWBT","Napoleon","Everyone into the stronghold!","Everyone into the stronghold!"
"WWBT003NP","WWBT","Napoleon","Raise the drawbridge immediatement!","Raise the drawbridge immediatement!"
"WWBT004NP","WWBT","Napoleon","Jam the mechanism with something! Anything!","Jam the mechanism with something! Anything!"
"WWBT005RA","WWBT","Raz","Hey, you can't jam the gears! That's cheating!","Hey, you can't jam the gears! That's cheating!"
"WWBT006NP","WWBT","Napoleon","All is fair in love and war! You have fought well, but that's as far as you shall go my friend!","All is fair in love and war! You have fought well, but that's as far as you shall go my friend!"
"WWBT007FR","WWBT","Fred","Ha! We'll see about that!","Ha! We'll see about that!"
"WWBT008RA","WWBT","Raz","Fred? Was that you?","Fred? Was that you?"
"WWBT009FR","WWBT","Fred","Yeah! Come on! We're winning! ","Yeah! Come on! We're winning! "
"WWBT010FR","WWBT","Fred","All we have to do is unjam those gears.","All we have to do is unjam those gears."
"WWBT011RA","WWBT","Raz","I'm on it, General.","I'm on it, General."
"WWBU000NP","WWBU","Napoleon","Come talk to me if you need to know the rules!","Come talk to me if you need to know the rules!"
"WWBU001RA","WWBU","Raz","Excuse me, Mr. Bonaparte? But how do you play this game?","Excuse me, Mr. Bonaparte? But how do you play this game?"
"WWBU002NP","WWBU","Napoleon","Ah, this game is so easy, even a child like you can play it.","Ah, this game is so easy, even a child like you can play it."
"WWBU003NP","WWBU","Napoleon","All my worthless descendent has to do is move a Knight piece into the center of my stronghold.","All my worthless descendent has to do is move a Knight piece into the center of my stronghold."
"WWBU004NP","WWBU","Napoleon","Ha ha, but his Knight isn't even on the board. He's hiding out in that house.","Ha ha, but his Knight isn't even on the board. He's hiding out in that house."
"WWBU005RA","WWBU","Raz","Well, maybe he's got a good reason--","Well, maybe he's got a good reason--"
"WWBU006NP","WWBU","Napoleon","And Knights are good at storming strongholds, but they are no good at field combat.","And Knights are good at storming strongholds, but they are no good at field combat."
"WWBU007NP","WWBU","Napoleon","So he'll also need a strong militia to fight my soldiers.","So he'll also need a strong militia to fight my soldiers."
"WWBU008NP","WWBU","Napoleon","But he has no militia. His people are hiding out in their houses--hopeless, hungry, and unarmed.","But he has no militia. His people are hiding out in their houses--hopeless, hungry, and unarmed."
"WWBU009RA","WWBU","Raz","Yeah, but--","Yeah, but--"
"WWBU010NP","WWBU","Napoleon","And if they came out to form a strong militia, they wouldn't be able to move around the board because I keep breaking his bridges!","And if they came out to form a strong militia, they wouldn't be able to move around the board because I keep breaking his bridges!"
"WWBU011RA","WWBU","Raz","Hey, that part is your fault--","Hey, that part is your fault--"
"WWBU012NP","WWBU","Napoleon","He could easily fix the bridges I keep breaking if he just had a Carpenter, but his Carpenter is hiding out in his house, ha ha, afraid!","He could easily fix the bridges I keep breaking if he just had a Carpenter, but his Carpenter is hiding out in his house, ha ha, afraid!"
"WWBU013RA","WWBU","Raz","Well, war is scary--","Well, war is scary--"
"WWBU014NP","WWBU","Napoleon","So you see, it is an easy game, but Fred has already lost it.","So you see, it is an easy game, but Fred has already lost it."
"WWBU015RA","WWBU","Raz","Not this time! This time we're going to win!","Not this time! This time we're going to win!"
"WWBU016FR","WWBU","Fred","No we're not!","No we're not!"
"WWBU017RA","WWBU","Raz","(Fred, shut up!)","(Fred, shut up!)"
"WWBU018RA","WWBU","Raz","Hey, can you give me a little hint here?","Hey, can you give me a little hint here?"
"WWBU020NP","WWBU","Napoleon","Well, you need to enlist a Carpenter so you can fix that bridge I broke, stupid.","Well, you need to enlist a Carpenter so you can fix that bridge I broke, stupid."
"WWBU021NP","WWBU","Napoleon","Move the Carpenter over to the bridge so he can fix it!","Move the Carpenter over to the bridge so he can fix it!"
"WWBU022NP","WWBU","Napoleon","You need to talk one of these peasants into forming a militia for you!","You need to talk one of these peasants into forming a militia for you!"
"WWBU023NP","WWBU","Napoleon","Move that Militiaman next to my Soldier! Do I have to tell you everything?","Move that Militiaman next to my Soldier! Do I have to tell you everything?"
"WWBU024NP","WWBU","Napoleon","Oh, cochon. You need to recruit another peasant if you want to keep fighting.","Oh, cochon. You need to recruit another peasant if you want to keep fighting."
"WWBU025NP","WWBU","Napoleon","There is a huge Salt Shaker blocking the game board. Get rid of it!","There is a huge Salt Shaker blocking the game board. Get rid of it!"
"WWBU026NP","WWBU","Napoleon","You've got another broken bridge. Get your Carpenter!","You've got another broken bridge. Get your Carpenter!"
"WWBU027NP","WWBU","Napoleon","Get that Militiaman over to where the action is so he can fight!","Get that Militiaman over to where the action is so he can fight!"
"WWBU028NP","WWBU","Napoleon","You're going to need one last brave soldier.","You're going to need one last brave soldier."
"WWBU029NP","WWBU","Napoleon","You will need to get your heartiest Knight out here onto the game board if you want to storm my stronghold.","You will need to get your heartiest Knight out here onto the game board if you want to storm my stronghold."
"WWBU030NP","WWBU","Napoleon","Ha! No help from me! You have fought well, but you will never get that drawbridge down, so your Knight will never be able to storm my stronghold!","Ha! No help from me! You have fought well, but you will never get that drawbridge down, so your Knight will never be able to storm my stronghold!"
"WWBU031NP","WWBU","Napoleon","Oh, what are you waiting for? Why don't you move your Knight into the stronghold and get it over with?","Oh, what are you waiting for? Why don't you move your Knight into the stronghold and get it over with?"
"WWBV000P1","WWBV","Peasant-1","Ha! Ah! Take that!","Ha! Ah! Take that!"
"WWBV001P2","WWBV","Peasant-2","Pow! Gah! Oof!","Pow! Gah! Oof!"
"WWBV002P3","WWBV","Peasant-3","Cool Musket, huh? Oh, wait. Have to reload here...","Cool Musket, huh? Oh, wait. Have to reload here..."
"WWBV003SD","WWBV","Soldier","Die! Arr! I kill you!","Die! Arr! I kill you!"
"WWBW000RA","WWBW","Raz","Ta da! That was easy!","Ta da! That was easy!"
"WWBW001RA","WWBW","Raz","Stronghold stormed, game won!","Stronghold stormed, game won!"
"WWBW002NP","WWBW","Napoleon","You have to storm the stronghold with your Knight, you stupid fool!","You have to storm the stronghold with your Knight, you stupid fool!"
"WWBW003RA","WWBW","Raz","Oh.","Oh."
"WWBX000RA","WWBX","Raz","Hey, look! A Musket!","Hey, look! A Musket!"
"WWBX001RA","WWBX","Raz","I'll bet I could arm our troops with that!","I'll bet I could arm our troops with that!"
"WWBY000RA","WWBY","Raz","I'm saving this note for that guy who thinks Fred doesn't care about him.","I'm saving this note for that guy who thinks Fred doesn't care about him."
"WWBY001RA","WWBY","Raz","I should give this to that guy who will fight for money.","I should give this to that guy who will fight for money."
"WWBY002RA","WWBY","Raz","I'm saving this coin until I find someone who could really use the money.","I'm saving this coin until I find someone who could really use the money."
"WWBY003RA","WWBY","Raz","What good is this Musket! It's not even loaded?","What good is this Musket! It's not even loaded?"
"WWBZ000CN","WWBZ","Carpenter","Hey, I can't come out yet--there's some big thing in front of my door!","Hey, I can't come out yet--there's some big thing in front of my door!"
"WWBZ004KN","WWBZ","Knight","Oh bother, I am thwarted by some large object in my path. Could you be so good as to move it away from my door?","Oh bother, I am thwarted by some large object in my path. Could you be so good as to move it away from my door?"
"WWBZ005CN","WWBZ","Carpenter","Thanks. I was feeling trapped.","Thanks. I was feeling trapped."
"WWBZ006P1","WWBZ","Peasant-1","Alright. That's more like it.","Alright. That's more like it."
"WWBZ007P2","WWBZ","Peasant-2","That's better.","That's better."
"WWBZ009KN","WWBZ","Knight","Thank you. Here I come!","Thank you. Here I come!"
"WWCA000RA","WWCA","Raz","Cheer up, Fred! You won the war!","Cheer up, Fred! You won the war!"
"WWCA001FR","WWCA","Fred","I know. But now I'm bored.","I know. But now I'm bored."
"WWCA002RA","WWCA","Raz","Mind if I hang out?","Mind if I hang out?"
"WWCA003FR","WWCA","Fred","Sure. Just don't expect me to be very entertaining.","Sure. Just don't expect me to be very entertaining."
"WWCB000RA","WWCB","Raz","Can you believe a great battle was once fought here, on these very fields upon which you now, so peacefully, graze?","Can you believe a great battle was once fought here, on these very fields upon which you now, so peacefully, graze?"
"WWCB001RA","WWCB","Raz","Many men died.","Many men died."
"WWCB002RA","WWCB","Raz","Some did it for money, some for country.","Some did it for money, some for country."
"WWCB003RA","WWCB","Raz","And some did it just because they had guns.","And some did it just because they had guns."
"WWCB004RA","WWCB","Raz","And now, no one is left on the battle fields, except you cows.","And now, no one is left on the battle fields, except you cows."
"WWCB005RA","WWCB","Raz","Crazy world, isn't it?","Crazy world, isn't it?"
"WWCB006RA","WWCB","Raz","Huh?","Huh?"
"WWCB007RA","WWCB","Raz","Don't you think it's crazy?","Don't you think it's crazy?"
"WWCB008RA","WWCB","Raz","Mm?","Mm?"
"WWCB009RA","WWCB","Raz","Hey, I'm talking to you, cow!","Hey, I'm talking to you, cow!"
"WWCB010RA","WWCB","Raz","We fought and died for you, so you could chew your cud in peace!","We fought and died for you, so you could chew your cud in peace!"
"WWCB011RA","WWCB","Raz","If it wasn't for me, you'd all be talking French right now!","If it wasn't for me, you'd all be talking French right now!"
"WWCB012RA","WWCB","Raz","Shame on you, ungrateful cow.","Shame on you, ungrateful cow."
"WWCB013RA","WWCB","Raz","That's what it was like when the war was on.","That's what it was like when the war was on."
"WWCB014RA","WWCB","Raz","And that!","And that!"
"WWZB000TO","WWZB","System","Priceless Coin","Priceless Coin"
"WWZB001TO","WWZB","System","Fred's Letter","Fred's Letter"
"WWZB002TO","WWZB","System","Rifle","Rifle"
"ASZA004TO","ASZA","System","I'm getting the feeling that you won't get too far with this fella until you earn the power of INVISIBILITY. You'll earn that at RANK 30. Do you still want to jump in and try?","I'm getting the feeling that you won't get too far with this fella until you earn the power of INVISIBILITY. You'll earn that at RANK 30. Do you still want to jump in and try?"
"WWZA009TO","WWZA","System","/AButton/Jump in","/AButton/Jump in"
"WWZA010TO","WWZA","System","/BButton/Come back later","/BButton/Come back later"
"WWCC000RA","WWCC","Raz","Eh, eh-eh. Eh, eh, eheh!","Eh, eh-eh. Eh, eh, eheh!"
"WWZF000TO","WWZF","System","Out bullet shopping.  Back in a few.","Out bullet shopping.  Back in a few."
"WWBE014FR","WWBE","Fred","I like war! War is fun! Victory is important to me.","I like war! War is fun! Victory is important to me."
"WWBF019NP","WWBF","Napoleon","Huh huh! My blood runs hot with passion for battle!","Huh huh! My blood runs hot with passion for battle!"
